BBQ
Bicycle Parking
Breakfast Included
Card Phones
Common Room
Currency Exchange
Free Internet Access
Free Parking
Games Room
Hairdryers For Hire
Internet Access
Kitchen
Linen Included
Luggage Storage
Parking
Tours/Travel Desk
Towels for hire
BBQ
Bicycle Hire
Bicycle Parking
Board games
Breakfast Included
Cable TV
Common Room
DVD's
Free City Maps
Free Internet Access
Free Parking
Free WiFi
Hairdryers
Hot Showers
Housekeeping
Internet Access
Kitchen
Linen Included
Lockers
Luggage Storage
Meals available
Meeting Room
Outdoor Terrace
Parking
Safe Deposit Box
Tea/Coffee Making Facilities
Tours/Travel Desk
Towels for hire
Airport Transfers
BBQ
Breakfast Included
Common Room
Free Internet Access
Free Parking
Hairdryers For Hire
Linen Included
Luggage Storage
Outdoor Terrace
Parking
Postal Service
Reading Light
Towels for hire
24 Hour Reception
Bar
Breakfast Not Included
Café
Elevator
Fax Service
Hairdryers
Housekeeping
Internet Access
Tea/Coffee Making Facilities
Wheelchair Accessible
Child Friendly
Non Smoking
Pet Friendly
BBQ
Book Exchange
Breakfast Included
Common Room
DVD's
Free City Maps
Free Internet Access
Free Parking
Free WiFi
Hairdryers For Hire
Hot Showers
Housekeeping
Internet Access
Kitchen
Laundry Facilities
Linen Included
